"","(Intercept)","category_depth","mean_Complexity","mean_coral_cover","mean_Surface_Area","precentage","Site","df","logLik","AICc","delta","weight"
"49",0.633895739686756,NA,NA,NA,NA,0.00270223737704649,"+",6,26.256193278311,-37.9669320111675,0,0.174592378417817
"53",0.760208231782833,NA,NA,-0.00376319500584434,NA,0.00256818695357295,"+",7,27.6875943758173,-37.8751887516347,0.0917432595328407,0.166764453885604
"50",0.573411601005104,"+",NA,NA,NA,0.00247139614676564,"+",7,26.9308514009561,-36.3617028019123,1.60522920925523,0.0782445662529046
"57",0.664816140912401,NA,NA,NA,-0.00189702691958414,0.00276987488052232,"+",7,26.6780211499967,-35.8560422999935,2.11088971117404,0.06076470649783
"61",0.788723253556407,NA,NA,-0.00372405709429191,-0.00183004859095366,0.00263483052849384,"+",8,28.1091216455805,-35.5730820008384,2.39385001032912,0.0527481650313057
"37",0.945877167084912,NA,NA,-0.00415481776842967,NA,NA,"+",6,24.9285145618626,-35.3115745782707,2.65535743289686,0.0462830255153006
"54",0.707194493188641,"+",NA,-0.00326220436631163,NA,0.00244788167013705,"+",8,27.9178534517435,-35.1905456131644,2.77638639800313,0.0435652925876388
"33",0.816416358370728,NA,NA,NA,NA,NA,"+",5,23.403832051586,-35.042958220819,2.92397379034848,0.0404662015312196
"51",0.636481856326147,NA,-0.00106154150640099,NA,NA,0.00269835851058884,"+",7,26.2563150083647,-35.0126300167295,2.95430199443802,0.0398571970945501
"55",0.757951316643733,NA,0.000933967415059377,-0.00376374339464781,NA,0.00257158013064812,"+",8,27.6876955650586,-34.7302298397946,3.23670217137288,0.0346086241914385
"34",0.713768796609038,"+",NA,NA,NA,NA,"+",6,24.5167772211625,-34.4880998968704,3.47883211429713,0.0306624240811583
"58",0.604540164760928,"+",NA,NA,-0.00183789479936174,0.00254139825758274,"+",8,27.3399858712505,-34.0348104521785,3.93212155898902,0.0244442059232861
"38",0.849540986212592,"+",NA,-0.00334409349446083,NA,NA,"+",7,25.4346699713641,-33.3693399427283,4.59759206843922,0.017525517409412
"52",0.603876955047455,"+",-0.0131302276546393,NA,NA,0.00241760814570506,"+",8,26.94968826536,-33.2542152403974,4.71271677077011,0.0165451929823474
"45",0.972945948386658,NA,NA,-0.00413128768961095,-0.00148612741426898,NA,"+",7,25.1707445127432,-32.8414890254865,5.12544298568102,0.0134601369389975
"59",0.717434379748316,NA,-0.0204120936374229,NA,-0.00207436495118924,0.00270161210456315,"+",8,26.7203085644589,-32.7954558385952,5.17147617257227,0.0131538685871191
"41",0.845248293241989,NA,NA,NA,-0.00154118375588923,NA,"+",6,23.6452666828628,-32.7450788202711,5.22185319089638,0.0128266802398745
"62",0.736707744540584,"+",NA,-0.00323694649470262,-0.00180368063306622,0.00251676268749988,"+",9,28.3318193096519,-32.6636386193037,5.30329339186381,0.0123148677779401
"39",1.01789576807339,NA,-0.0334375264004135,-0.0041166599132034,NA,NA,"+",7,25.0476212843713,-32.5952425687425,5.37168944242501,0.0119008433763313
"35",0.89850136113748,NA,-0.0374922903760735,NA,NA,NA,"+",6,23.5428106166995,-32.5401666879444,5.42676532322314,0.0115775899551506
"63",0.833624163993362,NA,-0.0175939228775229,-0.00371045242597663,-0.00198314734817588,0.0025764857112227,"+",9,28.1428417740546,-32.2856835481091,5.68124846305837,0.0101943103848303
"26",0.406676051653658,"+",NA,NA,-0.00406190817231184,0.00386204245893875,NA,5,21.9634300197733,-32.1621541571936,5.80477785397387,0.00958371269917258
"36",0.815885966280988,"+",-0.0489161927234142,NA,NA,NA,"+",7,24.7648627334345,-32.029725466869,5.93720654429854,0.00896968643723784
"42",0.742427579708604,"+",NA,NA,-0.0015004435996005,NA,"+",7,24.7586763705787,-32.0173527411575,5.94957927001005,0.00891436798865717
"56",0.7217513092782,"+",-0.00655703139238597,-0.00324618124435032,NA,0.002421136276472,"+",9,27.922762593877,-31.845525187754,6.12140682341348,0.00818047795874871
"18",0.296611503815611,"+",NA,NA,NA,0.00393656869081371,NA,4,20.2925577394797,-31.4422583361022,6.52467367506534,0.00668667776240315
"60",0.686178637767038,"+",-0.0331119673415035,NA,-0.00212192102226184,0.00241657307270173,"+",9,27.4526428681574,-30.9052857363149,7.06164627485263,0.00511220518076942
"46",0.876833772715935,"+",NA,-0.00332540343070349,-0.00146865499804481,NA,"+",8,25.6772870094266,-30.7094127285306,7.25751928263692,0.00463526953514012
"40",0.93364988107862,"+",-0.0424183856346277,-0.0032346495558234,NA,NA,"+",8,25.6287110537154,-30.6122608171082,7.35467119405928,0.00441548814803209
"43",0.979148168881543,NA,-0.0567384144943635,NA,-0.00205849742050664,NA,"+",7,23.9411127200987,-30.3822254401974,7.58470657097009,0.00393574702607621
"30",0.508071168343844,"+",NA,-0.00237921375168548,-0.0041063391613084,0.00394170646686359,NA,6,22.4312814241929,-30.3171083029313,7.64982370823625,0.0038096683444969
"47",1.0931515077506,NA,-0.0518081174405968,-0.00406467286484086,-0.00195937674812439,NA,"+",8,25.4363437480455,-30.2275262057685,7.73940580539906,0.00364279443150448
"44",0.898260411655965,"+",-0.0689223277688228,NA,-0.00212614189829583,NA,"+",8,25.2169920853577,-29.7888228803929,8.17810913077463,0.00292530697937904
"22",0.392629314472631,"+",NA,-0.00228010982124043,NA,0.00401369561393943,NA,5,20.6872644330412,-29.6098229837295,8.35710902743801,0.00267486651203624
"28",0.384513261292123,"+",0.00928049523966408,NA,-0.00396458423948847,0.00388351093256476,NA,6,21.9706774014764,-29.3959002574983,8.57103175366925,0.0024035290959684
"20",0.180591297521419,"+",0.0551441939373963,NA,NA,0.00405352289173315,NA,5,20.5621881810364,-29.3596704797199,8.60726153144765,0.00236038142102151
"64",0.7975789436528,"+",-0.0257838029179021,-0.00317083287578442,-0.00202554649725132,0.00242006632215073,"+",10,28.4031028667782,-29.2199988370046,8.74693317416288,0.00220116640442903
"48",1.00955520880394,"+",-0.0616727708745433,-0.0031591358312354,-0.00203012897303892,NA,"+",9,26.0583955264979,-28.1167910529959,9.85014095817165,0.00126792728948505
"29",0.674743307759282,NA,NA,-0.00456157227289649,-0.00528069047091572,0.00501384919181574,NA,5,19.7237297520463,-27.6827536217396,10.2841783894279,0.00102057357335197
"24",0.266900837920881,"+",0.0665582017683158,-0.00261983409003421,NA,0.00416634905467919,NA,6,21.0801912965643,-27.6149280476741,10.3520039634935,0.000986543370010905
"32",0.462325495003621,"+",0.0209720116353995,-0.00248099638040826,-0.00388830783324412,0.00399362882613212,NA,7,22.4683284906642,-27.4366569813284,10.5302750298391,0.000902412520072968
"25",0.50486180250444,NA,NA,NA,-0.00557281412331151,0.00519364581837413,NA,4,18.0353177541174,-26.9277783653776,11.0391536457899,0.00069968654847702
"31",0.509930595991659,NA,0.0677324295597601,-0.00466678788181906,-0.00445625194252508,0.00507173655659073,NA,6,20.0908263441867,-25.6361981429188,12.3307338682487,0.000366809388459594
"23",0.287800379506598,NA,0.125131313886029,-0.00503875920444065,NA,0.00537614127369382,NA,5,18.4619609343517,-25.1592159863504,12.8077160248171,0.000288978201332649
"21",0.558856245169454,NA,NA,-0.00495901303624575,NA,0.00537270082410794,NA,4,17.1253423688256,-25.107827594794,12.8591044163735,0.000281647717583541
"27",0.355365348642895,NA,0.0600111996519647,NA,-0.00484832824930456,0.00524860862113054,NA,5,18.3001669565918,-24.8356280308306,13.1313039803369,0.00024580960665665
"10",0.577236336174144,"+",NA,NA,-0.00432343610087138,NA,NA,4,16.8594077308303,-24.5759583188034,13.3909736923641,0.000215879940811961
"2",0.463447083789557,"+",NA,NA,NA,NA,NA,3,15.3837162805045,-24.1007658943424,13.8661661168251,0.000170225871550802
"17",0.366275750757,NA,NA,NA,NA,0.00559079495973205,NA,3,15.3676152371006,-24.0685638075344,13.8983682036331,0.000167507004440312
"19",0.098486183814905,NA,0.122226965487232,NA,NA,0.00559758133602047,NA,4,16.5310438575762,-23.9192305722952,14.0477014388723,0.000155455349720449
"14",0.654525187894799,"+",NA,-0.00175274854738971,-0.00436014226664791,NA,NA,5,17.0558461571957,-22.3469864320385,15.619945579129,7.08267305932149e-05
"12",0.648874455925723,"+",-0.0313385563369335,NA,-0.00464717225284369,NA,NA,5,16.9251184365344,-22.0855309907159,15.8814010204516,6.21473861240982e-05
"6",0.534652907476647,"+",NA,-0.00163523800848032,NA,NA,NA,4,15.5424764804672,-21.9420958180772,16.0248361930903,5.78463971896993e-05
"4",0.421696401369633,"+",0.0207296383255769,NA,NA,NA,NA,4,15.4138917034094,-21.6849262639617,16.2820057472058,5.08665937227134e-05
"16",0.705407519980606,"+",-0.0243539506861706,-0.00164413537684411,-0.00460945088288396,NA,NA,6,17.0951367696601,-19.6448189938657,18.3221130173018,1.83412525599063e-05
"8",0.484428862628404,"+",0.0277811764824551,-0.00176680053029875,NA,NA,NA,5,15.5961038035496,-19.4275017247463,18.5394302864212,1.64527745155875e-05
"13",1.04138888761984,NA,NA,-0.00552188076995856,-0.00668945520825404,NA,NA,4,11.3873957250895,-13.6319343073219,24.3349977038456,9.07293232152611e-07
"9",0.850216300924201,NA,NA,NA,-0.00710738570142698,NA,NA,3,9.74237679769374,-12.8180869287208,25.1488450824467,6.03980557302521e-07
"15",0.933930702958687,NA,0.0453258295783474,-0.00559970941059247,-0.00614863390465196,NA,NA,5,11.4954628179276,-11.2262197535022,26.7407122576654,2.72491772206787e-07
"5",0.925617587409406,NA,NA,-0.00612391164554272,NA,NA,NA,3,8.59905036250942,-10.5314340583522,27.4354979528153,1.92522989454709e-07
"11",0.765031907594504,NA,0.0350518313701697,NA,-0.00669370761889521,NA,NA,4,9.80201811114591,-10.4611790794347,27.5057529317328,1.85877542433637e-07
"7",0.656223574740199,NA,0.12447197910814,-0.00620397964088365,NA,NA,NA,4,9.45229541403324,-9.76173368520934,28.2051983259582,1.31022018045949e-07
"1",0.704071560168493,NA,NA,NA,NA,NA,NA,2,6.83245882398536,-9.34059332364639,28.6263386875211,1.06143845265339e-07
"3",0.439752689220052,NA,0.120827847292616,NA,NA,NA,NA,3,7.56660612702473,-8.4665455873828,29.5003864237847,6.85642551412707e-08
