"","Species","Species_2015","Family","Status"
"1","Abudefduf sexfasciatus","Abudefduf spp.","Pomacentridae","Transient"
"2","Abudefduf sordidus","Abudefduf spp.","Pomacentridae","Transient"
"3","Abudefduf spp.","Abudefduf spp.","Pomacentridae","Transient"
"4","Abudefduf vaigiensis","Abudefduf spp.","Pomacentridae","Transient"
"5","Acanthopagrus bifasciatus","Sparidae","Sparidae","Transient"
"6","Acanthurus gahhm","Acanthuridae","Acanthuridae","Transient"
"7","Acanthurus nigrofuscus","Acanthuridae","Acanthuridae","Transient"
"8","Acanthurus spp.","Acanthuridae","Acanthuridae","Transient"
"9","Aethaloperca rogaa","Serranidae","Serranidae","Transient"
"10","Aetobatus narinari","Aetobatidae","Aetobatidae","Transient"
"11","Alloblennius pictus","Blenniidae","Blenniidae","Reef associated"
"12","Aluterus scriptus","Monacanthidae","Monacanthidae","Transient"
"13","Amanses scopas","Monacanthidae","Monacanthidae","Transient"
"14","Amblyeleotris steinitzi","Gobiidae","Gobiidae","Reef associated"
"15","Amblyeleotris sungami","Gobiidae","Gobiidae","Reef associated"
"16","Amblyglyphidodon flavilatus","Amblyglyphidodon spp.","Pomacentridae","Reef associated"
"17","Amblyglyphidodon indicus","Amblyglyphidodon spp.","Pomacentridae","Reef associated"
"18","Amblyglyphidodon leucogaster","Amblyglyphidodon spp.","Pomacentridae","Reef associated"
"19","Amblyglyphidodon spp.","Amblyglyphidodon spp.","Pomacentridae","Reef associated"
"20","Amblygobius albimaculatus","Gobiidae","Gobiidae","Reef associated"
"21","Amphiprion bicinctus","Amphiprion bicinctus","Pomacentridae","Reef associated"
"22","Anampses lineatus","Labridae","Labridae","Transient"
"23","Anampses meleagrides","Labridae","Labridae","Transient"
"24","Anampses spp.","Labridae","Labridae","Transient"
"25","Anampses twistii","Labridae","Labridae","Transient"
"26","Antennarius commerson","Antennariidae","Antennariidae","Reef associated"
"27","Apogon spp.","Apogonidae","Apogonidae","Reef associated"
"28","Apolemichthys xanthotis","Apolemichthys xanthotis","Pomacanthidae","Transient"
"29","Arothron diadematus","Arothron spp.","Tetraodontidae","Transient"
"30","Arothron hispidus","Arothron spp.","Tetraodontidae","Transient"
"31","Arothron spp.","Arothron spp.","Tetraodontidae","Transient"
"32","Aspidontus dussumieri","Blenniidae","Blenniidae","Reef associated"
"33","Aspidontus taeniatus","Aspidontus taeniatus","Blenniidae","Reef associated"
"34","Aspidontus tractus","Blenniidae","Blenniidae","Reef associated"
"35","Asterropteryx semipunctata","Gobiidae","Gobiidae","Reef associated"
"36","Atherinomorus lacunosus","Atherinidae","Atherinidae","Transient"
"37","Atrosalarias fuscus","Blenniidae","Blenniidae","Reef associated"
"38","Balistapus undulatus","Balistidae","Balistidae","Transient"
"39","Balistidae spp.","Balistidae","Balistidae","Transient"
"40","Blenniella periophthalmus","Blenniidae","Blenniidae","Reef associated"
"41","Bodianus anthioides","Bodianus anthioides","Labridae","Transient"
"42","Bodianus axillaris","Labridae","Labridae","Transient"
"43","Bodianus diana","Labridae","Labridae","Transient"
"44","Bryaninops natans","Gobiidae","Gobiidae","Reef associated"
"45","Caesio lunaris","Caesio spp.","Caesionidae","Transient"
"46","Caesio spp.","Caesio spp.","Caesionidae","Transient"
"47","Caesio varilineata","Caesio spp.","Caesionidae","Transient"
"48","Callionymus sp.","Callionymidae","Callionymidae","Reef associated"
"49","Calotomus viridescens","Scaridae","Scaridae","Transient"
"50","Cantherhines dumerilii","Monacanthidae","Monacanthidae","Transient"
"51","Cantherhines pardalis","Monacanthidae","Monacanthidae","Transient"
"52","Canthigaster coronata","Canthigaster spp.","Tetraodontidae","Transient"
"53","Canthigaster margaritata","Canthigaster spp.","Tetraodontidae","Transient"
"54","Canthigaster pygmaea","Canthigaster spp.","Tetraodontidae","Transient"
"55","Canthigaster spp.","Canthigaster spp.","Tetraodontidae","Transient"
"56","Centropyge multispinis","Centropyge multispinis","Pomacanthidae","Transient"
"57","Cephalopholis argus","Serranidae","Serranidae","Transient"
"58","Cephalopholis hemistiktos","Serranidae","Serranidae","Transient"
"59","Cephalopholis miniata","Serranidae","Serranidae","Transient"
"60","Cetoscarus bicolor","Scaridae","Scaridae","Transient"
"61","Chaetodon auriga","Chaetodon auriga","Chaetodontidae","Transient"
"62","Chaetodon austriacus","Chaetodon austriacus","Chaetodontidae","Transient"
"63","Chaetodon fasciatus","Chaetodon fasciatus","Chaetodontidae","Transient"
"64","Chaetodon melannotus","Chaetodon melannotus","Chaetodontidae","Transient"
"65","Chaetodon paucifasciatus","Chaetodon paucifasciatus","Chaetodontidae","Transient"
"66","Chaetodon trifascialis","Chaetodon trifascialis","Chaetodontidae","Transient"
"67","Cheilinus abudjubbe","Labridae","Labridae","Transient"
"68","Cheilinus lunulatus","Labridae","Labridae","Transient"
"69","Cheilio inermis","Labridae","Labridae","Transient"
"70","Cheilodipterus lachneri","Cheilodipterus spp.","Apogonidae","Reef associated"
"71","Cheilodipterus macrodon","Cheilodipterus spp.","Apogonidae","Reef associated"
"72","Cheilodipterus novemstriatus","Cheilodipterus spp.","Apogonidae","Reef associated"
"73","Cheilodipterus quinquelineatus","Cheilodipterus spp.","Apogonidae","Reef associated"
"74","Cheilodipterus spp.","Cheilodipterus spp.","Apogonidae","Reef associated"
"75","Chlorurus gibbus","Scaridae","Scaridae","Transient"
"76","Chlorurus sordidus","Scaridae","Scaridae","Transient"
"77","Chromis dimidiata","Chromis dimidiata","Pomacentridae","Reef associated"
"78","Chromis flavaxilla","Chromis spp.","Pomacentridae","Reef associated"
"79","Chromis pelloura","Chromis spp.","Pomacentridae","Reef associated"
"80","Chromis pembae","Chromis spp.","Pomacentridae","Transient"
"81","Chromis spp.","Chromis spp.","Pomacentridae","Reef associated"
"82","Chromis ternatensis","Chromis spp.","Pomacentridae","Reef associated"
"83","Chromis viridis","Chromis viridis","Pomacentridae","Reef associated"
"84","Chromis weberi","Chromis spp.","Pomacentridae","Transient"
"85","Chrysiptera unimaculata","Pomacentridae","Pomacentridae","Reef associated"
"86","Cirrhilabrus rubriventralis","Labridae","Labridae","Transient"
"87","Cirrhitichthys oxycephalus","Cirrhitichthys oxycephalus","Cirrhitidae","Reef associated"
"88","Cirripectes castaneus","Blenniidae","Blenniidae","Reef associated"
"89","Coris aygula","Labridae","Labridae","Transient"
"90","Coris caudimacula","Coris caudimacula","Labridae","Transient"
"91","Coris cuvieri","Labridae","Labridae","Transient"
"92","Coris variegata","Labridae","Labridae","Transient"
"93","Corythoichthys flavofasciatus","Syngnathidae","Syngnathidae","Reef associated"
"94","Corythoichthys nigripectus","Syngnathidae","Syngnathidae","Reef associated"
"95","Corythoichthys schultzi","Syngnathidae","Syngnathidae","Reef associated"
"96","Crenimugil crenilabis","Mugilidae","Mugilidae","Transient"
"97","Cryptocentrus caeruleopunctatus","Gobiidae","Gobiidae","Reef associated"
"98","Ctenochaetus striatus","Acanthuridae","Acanthuridae","Transient"
"99","Ctenogobiops maculosus","Gobiidae","Gobiidae","Reef associated"
"100","Cyclichthys spilostylus","Diodontidae","Diodontidae","Transient"
"101","Dascyllus aruanus","Dascyllus aruanus","Pomacentridae","Reef associated"
"102","Dascyllus marginatus","Dascyllus marginatus","Pomacentridae","Reef associated"
"103","Dascyllus trimaculatus","Dascyllus trimaculatus","Pomacentridae","Reef associated"
"104","Decapterus macarellus","Carangidae","Carangidae","Transient"
"105","Diodon holocanthus","Diodontidae","Diodontidae","Transient"
"106","Diodon hystrix","Diodontidae","Diodontidae","Transient"
"107","Diodon spp.","Diodontidae","Diodontidae","Transient"
"108","Diplodus noct","Sparidae","Sparidae","Transient"
"109","Dunckerocampus multiannulatus","Syngnathidae","Syngnathidae","Reef associated"
"110","Ecsenius aroni","Blenniidae","Blenniidae","Reef associated"
"111","Ecsenius frontalis","Blenniidae","Blenniidae","Reef associated"
"112","Ecsenius gravieri","Ecsenius gravieri","Blenniidae","Reef associated"
"113","Ecsenius midas","Blenniidae","Blenniidae","Reef associated"
"114","Ecsenius nalolo","Blenniidae","Blenniidae","Reef associated"
"115","Enneapterygius pusillus","Tripterygiidae","Tripterygiidae","Reef associated"
"116","Epinephelus fasciatus","Epinephelus fasciatus","Serranidae","Transient"
"117","Epinephelus malabaricus","Serranidae","Serranidae","Transient"
"118","Epinephelus tauvina","Serranidae","Serranidae","Transient"
"119","Eviota guttata","Gobiidae","Gobiidae","Reef associated"
"120","Eviota prasina","Gobiidae","Gobiidae","Reef associated"
"121","Eviota prasites","Gobiidae","Gobiidae","Reef associated"
"122","Eviota sebreei","Gobiidae","Gobiidae","Reef associated"
"123","Exallias brevis","Blenniidae","Blenniidae","Reef associated"
"124","Fistularia commersonii","Fistularia commersonii","Fistulariidae","Transient"
"125","Fusigobius longispinus","Gobiidae","Gobiidae","Reef associated"
"126","Fusigobius neophytus","Gobiidae","Gobiidae","Reef associated"
"127","Gerres oyena","Gerreidae","Gerreidae","Transient"
"128","Gnatholepis anjerensis","Gobiidae","Gobiidae","Reef associated"
"129","Gobiidae spp.","Gobiidae","Gobiidae","Reef associated"
"130","Gobiodon citrinus","Gobiidae","Gobiidae","Reef associated"
"131","Gobiodon reticulatus","Gobiidae","Gobiidae","Reef associated"
"132","Gobiodon rivulatus","Gobiidae","Gobiidae","Reef associated"
"133","Gomphosus caeruleus","Gomphosus caeruleus","Labridae","Transient"
"134","Grammistes sexlineatus","Grammistes sexlineatus","Serranidae","Transient"
"135","Gymnothorax flavimarginatus","Muraenidae","Muraenidae","Reef associated"
"136","Gymnothorax griseus","Muraenidae","Muraenidae","Reef associated"
"137","Gymnothorax javanicus","Muraenidae","Muraenidae","Reef associated"
"138","Gymnothorax nudivomer","Muraenidae","Muraenidae","Reef associated"
"139","Gymnothorax undulatus","Muraenidae","Muraenidae","Reef associated"
"140","Halichoeres hortulanus","Labridae","Labridae","Transient"
"141","Halichoeres marginatus","Labridae","Labridae","Transient"
"142","Halichoeres scapularis","Labridae","Labridae","Transient"
"143","Halichoeres spp.","Labridae","Labridae","Transient"
"144","Haliophis guttatus","Pseudochromidae","Pseudochromidae","Reef associated"
"145","Haliophis sp.","Pseudochromidae","Pseudochromidae","Reef associated"
"146","Hemigymnus fasciatus","Labridae","Labridae","Transient"
"147","Hemiramphus far","Hemiramphidae","Hemiramphidae","Transient"
"148","Heniochus diphreutes","Heniochus spp.","Chaetodontidae","Transient"
"149","Heniochus intermedius","Heniochus spp.","Chaetodontidae","Transient"
"150","Heniochus spp.","Heniochus spp.","Chaetodontidae","Transient"
"151","Hipposcarus harid","Scaridae","Scaridae","Transient"
"152","Hologymnosus annulatus","Labridae","Labridae","Transient"
"153","Hyporhamphus gamberur","Hemiramphidae","Hemiramphidae","Transient"
"154","Inimicus filamentosus","Synanceiidae","Synanceiidae","Reef associated"
"155","Istigobius decoratus","Gobiidae","Gobiidae","Reef associated"
"156","Koumansetta hectori","Gobiidae","Gobiidae","Reef associated"
"157","Kyphosus vaigiensis","Kyphosidae","Kyphosidae","Transient"
"158","Labrid spp. ","Labridae","Labridae","Transient"
"159","Labroides dimidiatus","Labroides dimidiatus","Labridae","Reef associated"
"160","Larabicus quadrilineatus","Larabicus quadrilineatus","Labridae","Reef associated"
"161","Lethrinus borbonicus","Lethrinidae","Lethrinidae","Transient"
"162","Lethrinus mahsena","Lethrinidae","Lethrinidae","Transient"
"163","Lethrinus nebulosus","Lethrinidae","Lethrinidae","Transient"
"164","Lethrinus obsoletus","Lethrinidae","Lethrinidae","Transient"
"165","Lethrinus spp.","Lethrinidae","Lethrinidae","Transient"
"166","Lotilia graciliosa","Gobiidae","Gobiidae","Reef associated"
"167","Lutjanus bohar","Lethrinidae","Lutjanidae","Transient"
"168","Macropharyngodon bipartitus","Labridae","Labridae","Transient"
"169","Meiacanthus nigrolineatus","Meiacanthus nigrolineatus","Blenniidae","Reef associated"
"170","Mimoblennius cirrosus","Blenniidae","Blenniidae","Reef associated"
"171","Monacanthidae spp. ","Monacanthidae","Monacanthidae","Transient"
"172","Monotaxis grandoculis","Lethrinidae","Lethrinidae","Transient"
"173","Mugilidae spp.","Mugilidae","Mugilidae","Transient"
"174","Mullidae spp. ","Mullidae","Mullidae","Transient"
"175","Mulloidichthys flavolineatus","Mullidae","Mullidae","Transient"
"176","Mulloidichthys vanicolensis","Mullidae","Mullidae","Transient"
"177","Muraenidae spp.","Muraenidae","Muraenidae","Reef associated"
"178","Myrichthys maculosus","Ophichthidae","Ophichthidae","Reef associated"
"179","Myripristis murdjan","Holocentridae","Holocentridae","Reef associated"
"180","Nectamia annularis","Apogonidae","Apogonidae","Reef associated"
"181","Nectamia zebrina","Apogonidae","Apogonidae","Reef associated"
"182","Neoglyphidodon melas","Neoglyphidodon melas","Pomacentridae","Reef associated"
"183","Neoniphon sammara","Holocentridae","Holocentridae","Reef associated"
"184","Neopomacentrus miryae","Neopomacentrus miryae","Pomacentridae","Transient"
"185","Odonus niger","Balistidae","Balistidae","Transient"
"186","Ostorhinchus cyanosoma","Apogonidae","Apogonidae","Reef associated"
"187","Ostorhinchus fleurieu","Apogonidae","Apogonidae","Reef associated"
"188","Ostorhinchus nigrofasciatus","Apogonidae","Apogonidae","Reef associated"
"189","Ostracion cubicum","Ostracion spp.","Ostraciidae","Transient"
"190","Ostracion cyanurus","Ostracion spp.","Ostraciidae","Transient"
"191","Ostracion spp.","Ostracion spp.","Ostraciidae","Transient"
"192","Oxycheilinus digramma","Labridae","Labridae","Transient"
"193","Oxymonacanthus halli","Monacanthidae","Monacanthidae","Reef associated"
"194","Papilloculiceps longiceps","Platycephalidae","Platycephalidae","Reef associated"
"195","Paracheilinus octotaenia","Labridae","Labridae","Transient"
"196","Paracirrhites forsteri","Paracirrhites forsteri","Cirrhitidae","Transient"
"197","Paragobiodon echinocephalus","Gobiidae","Gobiidae","Reef associated"
"198","Paragobiodon xanthosoma","Gobiidae","Gobiidae","Reef associated"
"199","Parapercis hexophtalma","Pinguipedidae","Pinguipedidae","Reef associated"
"200","Parapriacanthus ransonneti","Pempheridae","Pempheridae","Reef associated"
"201","Pardachirus marmoratus","Soleidae","Soleidae","Reef associated"
"202","Parupeneus cyclostomus","Parupeneus cyclostomus","Mullidae","Transient"
"203","Parupeneus forsskali","Mullidae","Mullidae","Transient"
"204","Parupeneus macronemus","Mullidae","Mullidae","Transient"
"205","Parupeneus rubescens","Mullidae","Mullidae","Transient"
"206","Pervagor randalli","Monacanthidae","Monacanthidae","Transient"
"207","Petroscirtes mitratus","Blenniidae","Blenniidae","Reef associated"
"208","Pinguipedidae spp.","Pinguipedidae","Pinguipedidae","Reef associated"
"209","Plagiotremus rhinorhynchos","Plagiotremus spp.","Blenniidae","Reef associated"
"210","Plagiotremus spp.","Plagiotremus spp.","Blenniidae","Reef associated"
"211","Plagiotremus tapeinosoma","Plagiotremus spp.","Blenniidae","Reef associated"
"212","Plagiotremus townsendi","Plagiotremus townsendi","Blenniidae","Reef associated"
"213","Plectroglyphidodon lacrymatus","Pomacentridae","Pomacentridae","Reef associated"
"214","Plectroglyphidodon leucozonus","Pomacentridae","Pomacentridae","Reef associated"
"215","Plectroglyphidodon spp.","Pomacentridae","Pomacentridae","Reef associated"
"216","Pleurosicya micheli","Gobiidae","Gobiidae","Reef associated"
"217","Pomacanthus imperator","Pomacentridae","Pomacanthidae","Transient"
"218","Pomacanthus spp.","Pomacentridae","Pomacentridae","Transient"
"219","Pomacentrus sulfureus","Pomacentrus sulfureus","Pomacentridae","Reef associated"
"220","Pomacentrus trichrourus","Pomacentrus trichrourus","Pomacentridae","Reef associated"
"221","Pomacentrus trilineatus","Pomacentridae","Pomacentridae","Reef associated"
"222","Priacanthus hamrur","Priacanthidae","Priacanthidae","Reef associated"
"223","Pristiapogon exostigma","Apogonidae","Apogonidae","Reef associated"
"224","Pseudanthias spp.","Pseudanthias spp.","Serranidae","Transient"
"225","Pseudanthias squamipinnis","Pseudanthias spp.","Serranidae","Transient"
"226","Pseudobalistes fuscus","Balistidae","Balistidae","Transient"
"227","Pseudocheilinus evanidus","Pseudocheilinus evanidus","Labridae","Transient"
"228","Pseudocheilinus hexataenia","Pseudocheilinus hexataenia","Labridae","Transient"
"229","Pseudochromis flavivertex","Pseudochromidae","Pseudochromidae","Reef associated"
"230","Pseudochromis fridmani","Pseudochromis fridmani","Pseudochromidae","Reef associated"
"231","Pseudochromis olivaceus","Pseudochromis olivaceus","Pseudochromidae","Reef associated"
"232","Pseudochromis pesi","Pseudochromidae","Pseudochromidae","Reef associated"
"233","Pseudochromis spp.","Pseudochromidae","Pseudochromidae","Reef associated"
"234","Pseudochromis springeri","Pseudochromis springeri","Pseudochromidae","Reef associated"
"235","Pteragogus cryptus","Labridae","Labridae","Transient"
"236","Pterois miles","Pterois miles","Scorpaenidae","Transient"
"237","Pterois radiata","Pterois radiata","Scorpaenidae","Reef associated"
"238","Pygoplites diacanthus","Pomacanthidae","Pomacanthidae","Transient"
"239","Rhinecanthus assasi","Balistidae","Balistidae","Transient"
"240","Salarias fasciatus","Blenniidae","Blenniidae","Reef associated"
"241","Sargocentron caudimaculatum","Sargocentron spp.","Holocentridae","Reef associated"
"242","Sargocentron diadema","Sargocentron spp.","Holocentridae","Reef associated"
"243","Sargocentron rubrum","Sargocentron spp.","Holocentridae","Reef associated"
"244","Sargocentron spiniferum","Sargocentron spp.","Holocentridae","Reef associated"
"245","Sargocentron spp.","Sargocentron spp.","Holocentridae","Reef associated"
"246","Saurida gracilis","Synodontidae","Synodontidae","Reef associated"
"247","Scaridae spp.","Scaridae","Scaridae","Transient"
"248","Scarus collana","Scaridae","Scaridae","Transient"
"249","Scarus ferrugineus","Scaridae","Scaridae","Transient"
"250","Scarus frenatus","Scaridae","Scaridae","Transient"
"251","Scarus fuscopurpureus","Scaridae","Scaridae","Transient"
"252","Scarus ghobban","Scaridae","Scaridae","Transient"
"253","Scarus niger","Scaridae","Scaridae","Transient"
"254","Scarus psittacus","Scaridae","Scaridae","Transient"
"255","Scarus spp.","Scaridae","Scaridae","Reef associated"
"256","Scolopsis ghanam","Scolopsis ghanam","Nemipteridae","Transient"
"257","Scorpaenodes parvipinnis","Scorpaenidae","Scorpaenidae","Reef associated"
"258","Scorpaenopsis barbata","Scorpaenidae","Scorpaenidae","Reef associated"
"259","Scorpaenopsis diabolus","Scorpaenidae","Scorpaenidae","Reef associated"
"260","Scorpaenopsis spp.","Scorpaenidae","Scorpaenidae","Reef associated"
"261","Scuticaria tigrina","Muraenidae","Muraenidae","Reef associated"
"262","Sebastapistes cyanostigma","Scorpaenidae","Scorpaenidae","Reef associated"
"263","Serranidae spp.","Serranidae","Serranidae","Transient"
"264","Siganus  spp.","Siganus  spp.","Siganidae","Transient"
"265","Siganus argenteus","Siganus  spp.","Siganidae","Transient"
"266","Siganus luridus","Siganus  spp.","Siganidae","Transient"
"267","Siganus rivulatus","Siganus  spp.","Siganidae","Transient"
"268","Siganus stellatus","Siganus  spp.","Siganidae","Transient"
"269","Siphamia majimai","Apogonidae","Apogonidae","Reef associated"
"270","Sphyraena barracuda","Sphyraena barracuda","Sphyraenidae","Transient"
"271","Sphyraena flavicauda","Sphyraena flavicauda","Sphyraenidae","Transient"
"272","Spratelloides gracilis","Spratelloididae","Spratelloididae","Transient"
"273","Stethojulis albovittata","Labridae","Labridae","Transient"
"274","Stethojulis interrupta","Labridae","Labridae","Transient"
"275","Stethojulis spp.","Labridae","Labridae","Transient"
"276","Sufflamen albicaudatum","Balistidae","Balistidae","Transient"
"277","Synanceia verrucosa","Synanceia verrucosa","Synanceiidae","Reef associated"
"278","Syngnathidae spp.","Syngnathidae","Syngnathidae","Reef associated"
"279","Synodontidae spp.","Synodontidae","Synodontidae","Reef associated"
"280","Synodus variegatus","Synodontidae","Synodontidae","Reef associated"
"281","Taeniamia fucata","Apogonidae","Apogonidae","Reef associated"
"282","Taeniura lymma","Taeniura lymma","Dasyatidae","Transient"
"283","Thalassoma lunare","Thalassoma spp.","Labridae","Transient"
"284","Thalassoma rueppellii","Thalassoma spp.","Labridae","Transient"
"285","Thalassoma spp.","Thalassoma spp.","Labridae","Transient"
"286","Torpedo panthera","Torpedinidae","Torpedinidae","Reef associated"
"287","Trimma avidori","Gobiidae","Gobiidae","Reef associated"
"288","Trimma barralli","Gobiidae","Gobiidae","Reef associated"
"289","Trimma flavicaudatum","Gobiidae","Gobiidae","Reef associated"
"290","Tripterygiidae sp.","Tripterygiidae","Tripterygiidae","Reef associated"
"291","Tylosurus choram","Belonidae","Belonidae","Transient"
"292","Valenciennea puellaris","Gobiidae","Gobiidae","Reef associated"
"293","Variola louti","Variola louti","Serranidae","Transient"
"294","Zebrasoma desjardinii","Zebrasoma desjardinii","Acanthuridae","Transient"
"295","Zebrasoma xanthurum","Zebrasoma xanthurum","Acanthuridae","Transient"
