Family,Species,Species name 2015,Group
Acanthuridae,Acanthurus gahhm,Acanthuridae,Transient
Acanthuridae,Acanthurus nigrofuscus,Acanthuridae,Transient
Acanthuridae,Acanthurus spp.,Acanthuridae,Transient
Acanthuridae,Ctenochaetus striatus,Acanthuridae,Transient
Acanthuridae,Zebrasoma desjardinii,Zebrasoma desjardinii,Transient
Acanthuridae,Zebrasoma xanthurum,Zebrasoma xanthurum,Transient
Aetobatidae,Aetobatus ocellatus,Aetobatidae,Transient
Antennariidae,Antennarius commerson,Antennariidae,Reef associated
Apogonidae,Apogon spp.,Apogonidae,Reef associated
Apogonidae,Cheilodipterus lachneri,Cheilodipterus spp.,Reef associated
Apogonidae,Cheilodipterus macrodon,Cheilodipterus spp.,Reef associated
Apogonidae,Cheilodipterus novemstriatus,Cheilodipterus spp.,Reef associated
Apogonidae,Cheilodipterus quinquelineatus,Cheilodipterus spp.,Reef associated
Apogonidae,Cheilodipterus spp.,Cheilodipterus spp.,Reef associated
Apogonidae,Nectamia annularis,Apogonidae,Reef associated
Apogonidae,Nectamia zebrina,Apogonidae,Reef associated
Apogonidae,Ostorhinchus cyanosoma,Apogonidae,Reef associated
Apogonidae,Ostorhinchus fleurieu,Apogonidae,Reef associated
Apogonidae,Ostorhinchus nigrofasciatus,Apogonidae,Reef associated
Apogonidae,Pristiapogon exostigma,Apogonidae,Reef associated
Apogonidae,Taeniamia fucata,Apogonidae,Reef associated
Atherinidae,Atherinomorus lacunosus,Atherinidae,Transient
Balistidae,Balistapus undulatus,Balistidae,Transient
Balistidae,Balistidae spp.,Balistidae,Transient
Balistidae,Odonus niger,Balistidae,Transient
Balistidae,Pseudobalistes fuscus,Balistidae,Transient
Balistidae,Rhinecanthus assasi,Balistidae,Transient
Balistidae,Sufflamen albicaudatum,Balistidae,Transient
Belonidae,Tylosurus choram,Belonidae,Transient
Blenniidae,Alloblennius pictus,Blenniidae,Reef associated
Blenniidae,Aspidontus dussumieri,Blenniidae,Reef associated
Blenniidae,Aspidontus taeniatus,Aspidontus taeniatus,Reef associated
Blenniidae,Aspidontus tractus,Blenniidae,Reef associated
Blenniidae,Atrosalarias fuscus,Blenniidae,Reef associated
Blenniidae,Blenniella periophthalmus,Blenniidae,Reef associated
Blenniidae,Cirripectes castaneus,Blenniidae,Reef associated
Blenniidae,Ecsenius aroni,Blenniidae,Reef associated
Blenniidae,Ecsenius frontalis,Blenniidae,Reef associated
Blenniidae,Ecsenius gravieri,Ecsenius gravieri,Reef associated
Blenniidae,Ecsenius midas,Blenniidae,Reef associated
Blenniidae,Ecsenius nalolo,Blenniidae,Reef associated
Blenniidae,Exallias brevis,Blenniidae,Reef associated
Blenniidae,Meiacanthus nigrolineatus,Meiacanthus nigrolineatus,Reef associated
Blenniidae,Mimoblennius cirrosus,Blenniidae,Reef associated
Blenniidae,Petroscirtes mitratus,Blenniidae,Reef associated
Blenniidae,Plagiotremus rhinorhynchos,Plagiotremus spp.,Reef associated
Blenniidae,Plagiotremus spp.,Plagiotremus spp.,Reef associated
Blenniidae,Plagiotremus tapeinosoma,Plagiotremus spp.,Reef associated
Blenniidae,Plagiotremus townsendi,Plagiotremus townsendi,Reef associated
Blenniidae,Salarias fasciatus,Blenniidae,Reef associated
Caesionidae,Caesio lunaris,Caesio spp.,Transient
Caesionidae,Caesio spp.,Caesio spp.,Transient
Caesionidae,Caesio varilineata,Caesio spp.,Transient
Callionymidae,Callionymus sp.,Callionymidae,Reef associated
Carangidae,Decapterus macarellus,Carangidae,Transient
Chaetodontidae,Chaetodon auriga,Chaetodon auriga,Transient
Chaetodontidae,Chaetodon austriacus,Chaetodon austriacus,Transient
Chaetodontidae,Chaetodon fasciatus,Chaetodon fasciatus,Transient
Chaetodontidae,Chaetodon melannotus,Chaetodon melannotus,Transient
Chaetodontidae,Chaetodon paucifasciatus,Chaetodon paucifasciatus,Transient
Chaetodontidae,Chaetodon trifascialis,Chaetodon trifascialis,Transient
Chaetodontidae,Heniochus diphreutes,Heniochus spp.,Transient
Chaetodontidae,Heniochus intermedius,Heniochus spp.,Transient
Chaetodontidae,Heniochus spp.,Heniochus spp.,Transient
Cirrhitidae,Cirrhitichthys oxycephalus,Cirrhitichthys oxycephalus,Reef associated
Cirrhitidae,Paracirrhites forsteri,Paracirrhites forsteri,Transient
Dasyatidae,Taeniura lymma,Taeniura lymma,Transient
Diodontidae,Cyclichthys spilostylus,Diodontidae,Transient
Diodontidae,Diodon holocanthus,Diodontidae,Transient
Diodontidae,Diodon hystrix,Diodontidae,Transient
Diodontidae,Diodon spp.,Diodontidae,Transient
Fistulariidae,Fistularia commersonii,Fistularia commersonii,Transient
Gerreidae,Gerres oyena,Gerreidae,Transient
Gobiidae,Amblyeleotris steinitzi,Gobiidae,Reef associated
Gobiidae,Amblyeleotris sungami,Gobiidae,Reef associated
Gobiidae,Amblygobius albimaculatus,Gobiidae,Reef associated
Gobiidae,Asterropteryx semipunctata,Gobiidae,Reef associated
Gobiidae,Bryaninops natans,Gobiidae,Reef associated
Gobiidae,Cryptocentrus caeruleopunctatus,Gobiidae,Reef associated
Gobiidae,Ctenogobiops maculosus,Gobiidae,Reef associated
Gobiidae,Eviota guttata,Gobiidae,Reef associated
Gobiidae,Eviota prasina,Gobiidae,Reef associated
Gobiidae,Eviota punyit,Gobiidae,Reef associated
Gobiidae,Eviota zebrina,Gobiidae,Reef associated
Gobiidae,Fusigobius longispinus,Gobiidae,Reef associated
Gobiidae,Fusigobius neophytus,Gobiidae,Reef associated
Gobiidae,Gnatholepis anjerensis,Gobiidae,Reef associated
Gobiidae,Gobiidae spp.,Gobiidae,Reef associated
Gobiidae,Gobiodon citrinus,Gobiidae,Reef associated
Gobiidae,Gobiodon reticulatus,Gobiidae,Reef associated
Gobiidae,Gobiodon rivulatus,Gobiidae,Reef associated
Gobiidae,Istigobius decoratus,Gobiidae,Reef associated
Gobiidae,Koumansetta hectori,Gobiidae,Reef associated
Gobiidae,Lotilia graciliosa,Gobiidae,Reef associated
Gobiidae,Paragobiodon echinocephalus,Gobiidae,Reef associated
Gobiidae,Paragobiodon xanthosoma,Gobiidae,Reef associated
Gobiidae,Pleurosicya micheli,Gobiidae,Reef associated
Gobiidae,Trimma avidori,Gobiidae,Reef associated
Gobiidae,Trimma barralli,Gobiidae,Reef associated
Gobiidae,Trimma flavicaudatum,Gobiidae,Reef associated
Gobiidae,Valenciennea puellaris,Gobiidae,Reef associated
Hemiramphidae,Hemiramphus far,Hemiramphidae,Transient
Hemiramphidae,Hyporhamphus gamberur,Hemiramphidae,Transient
Holocentridae,Myripristis murdjan,Holocentridae,Reef associated
Holocentridae,Neoniphon sammara,Holocentridae,Reef associated
Holocentridae,Sargocentron caudimaculatum,Sargocentron spp.,Reef associated
Holocentridae,Sargocentron diadema,Sargocentron spp.,Reef associated
Holocentridae,Sargocentron rubrum,Sargocentron spp.,Reef associated
Holocentridae,Sargocentron spiniferum,Sargocentron spp.,Reef associated
Holocentridae,Sargocentron spp.,Sargocentron spp.,Reef associated
Kyphosidae,Kyphosus vaigiensis,Kyphosidae,Transient
Labridae,Anampses lineatus,Labridae,Transient
Labridae,Anampses meleagrides,Labridae,Transient
Labridae,Anampses spp.,Labridae,Transient
Labridae,Anampses twistii,Labridae,Transient
Labridae,Bodianus anthioides,Bodianus anthioides,Transient
Labridae,Bodianus axillaris,Labridae,Transient
Labridae,Bodianus diana,Labridae,Transient
Labridae,Cheilinus abudjubbe,Labridae,Transient
Labridae,Cheilinus lunulatus,Labridae,Transient
Labridae,Cheilio inermis,Labridae,Transient
Labridae,Cirrhilabrus rubriventralis,Labridae,Transient
Labridae,Coris aygula,Labridae,Transient
Labridae,Coris caudimacula,Coris caudimacula,Transient
Labridae,Coris cuvieri,Labridae,Transient
Labridae,Coris variegata,Labridae,Transient
Labridae,Gomphosus caeruleus,Gomphosus caeruleus,Transient
Labridae,Halichoeres hortulanus,Labridae,Transient
Labridae,Halichoeres marginatus,Labridae,Transient
Labridae,Halichoeres scapularis,Labridae,Transient
Labridae,Halichoeres spp.,Labridae,Transient
Labridae,Hemigymnus sexfasciatus,Labridae,Transient
Labridae,Hologymnosus annulatus,Labridae,Transient
Labridae,Labrid spp. ,Labridae,Transient
Labridae,Labroides dimidiatus,Labroides dimidiatus,Reef associated
Labridae,Larabicus quadrilineatus,Larabicus quadrilineatus,Reef associated
Labridae,Macropharyngodon marisrubri,Labridae,Transient
Labridae,Oxycheilinus digramma,Labridae,Transient
Labridae,Paracheilinus octotaenia,Labridae,Transient
Labridae,Pseudocheilinus evanidus,Pseudocheilinus evanidus,Transient
Labridae,Pseudocheilinus hexataenia,Pseudocheilinus hexataenia,Transient
Labridae,Pteragogus cryptus,Labridae,Transient
Labridae,Stethojulis albovittata,Labridae,Transient
Labridae,Stethojulis interrupta,Labridae,Transient
Labridae,Stethojulis spp.,Labridae,Transient
Labridae,Thalassoma lunare,Thalassoma spp.,Transient
Labridae,Thalassoma rueppellii,Thalassoma spp.,Transient
Labridae,Thalassoma spp.,Thalassoma spp.,Transient
Lethrinidae,Lethrinus borbonicus,Lethrinidae,Transient
Lethrinidae,Lethrinus mahsena,Lethrinidae,Transient
Lethrinidae,Lethrinus nebulosus,Lethrinidae,Transient
Lethrinidae,Lethrinus obsoletus,Lethrinidae,Transient
Lethrinidae,Lethrinus spp.,Lethrinidae,Transient
Lethrinidae,Monotaxis grandoculis,Lethrinidae,Transient
Lutjanidae,Lutjanus bohar,Lethrinidae,Transient
Monacanthidae,Aluterus scriptus,Monacanthidae,Transient
Monacanthidae,Amanses scopas,Monacanthidae,Transient
Monacanthidae,Cantherhines pardalis,Monacanthidae,Transient
Monacanthidae,Monacanthidae spp. ,Monacanthidae,Transient
Monacanthidae,Oxymonacanthus halli,Monacanthidae,Reef associated
Monacanthidae,Pervagor randalli,Monacanthidae,Transient
Mugilidae,Crenimugil crenilabis,Mugilidae,Transient
Mugilidae,Mugilidae spp.,Mugilidae,Transient
Mullidae,Mullidae spp. ,Mullidae,Transient
Mullidae,Mulloidichthys flavolineatus,Mullidae,Transient
Mullidae,Mulloidichthys vanicolensis,Mullidae,Transient
Mullidae,Parupeneus cyclostomus,Parupeneus cyclostomus,Transient
Mullidae,Parupeneus forsskali,Mullidae,Transient
Mullidae,Parupeneus macronemus,Mullidae,Transient
Mullidae,Parupeneus rubescens,Mullidae,Transient
Muraenidae,Gymnothorax flavimarginatus,Muraenidae,Reef associated
Muraenidae,Gymnothorax griseus,Muraenidae,Reef associated
Muraenidae,Gymnothorax javanicus,Muraenidae,Reef associated
Muraenidae,Gymnothorax nudivomer,Muraenidae,Reef associated
Muraenidae,Gymnothorax undulatus,Muraenidae,Reef associated
Muraenidae,Muraenidae spp.,Muraenidae,Reef associated
Muraenidae,Scuticaria tigrina,Muraenidae,Reef associated
Nemipteridae,Scolopsis ghanam,Scolopsis ghanam,Transient
Ophichthidae,Myrichthys maculosus,Ophichthidae,Reef associated
Ostraciidae,Ostracion cubicum,Ostracion spp.,Transient
Ostraciidae,Ostracion cyanurus,Ostracion spp.,Transient
Ostraciidae,Ostracion spp.,Ostracion spp.,Transient
Pempheridae,Parapriacanthus guentheri,Pempheridae,Reef associated
Pinguipedidae,Parapercis hexophtalma,Pinguipedidae,Reef associated
Pinguipedidae,Pinguipedidae spp.,Pinguipedidae,Reef associated
Platycephalidae,Papilloculiceps longiceps,Platycephalidae,Reef associated
Pomacanthidae,Apolemichthys xanthotis,Apolemichthys xanthotis,Transient
Pomacanthidae,Centropyge multispinis,Centropyge multispinis,Transient
Pomacanthidae,Pomacanthus imperator,Pomacentridae,Transient
Pomacanthidae,Pygoplites diacanthus,Pomacanthidae,Transient
Pomacentridae,Abudefduf sexfasciatus,Abudefduf spp.,Transient
Pomacentridae,Abudefduf sordidus,Abudefduf spp.,Transient
Pomacentridae,Abudefduf spp.,Abudefduf spp.,Transient
Pomacentridae,Abudefduf vaigiensis,Abudefduf spp.,Transient
Pomacentridae,Amblyglyphidodon flavilatus,Amblyglyphidodon spp.,Reef associated
Pomacentridae,Amblyglyphidodon indicus,Amblyglyphidodon spp.,Reef associated
Pomacentridae,Amblyglyphidodon spp.,Amblyglyphidodon spp.,Reef associated
Pomacentridae,Amphiprion bicinctus,Amphiprion bicinctus,Reef associated
Pomacentridae,Chromis dimidiata,Chromis dimidiata,Reef associated
Pomacentridae,Chromis flavaxilla,Chromis spp.,Reef associated
Pomacentridae,Chromis pelloura,Chromis spp.,Reef associated
Pomacentridae,Chromis pembae,Chromis spp.,Reef associated
Pomacentridae,Chromis spp.,Chromis spp.,Reef associated
Pomacentridae,Chromis ternatensis,Chromis spp.,Reef associated
Pomacentridae,Chromis viridis,Chromis viridis,Reef associated
Pomacentridae,Chromis weberi,Chromis spp.,Reef associated
Pomacentridae,Chrysiptera unimaculata,Pomacentridae,Reef associated
Pomacentridae,Dascyllus abudafur,Dascyllus aruanus,Reef associated
Pomacentridae,Dascyllus marginatus,Dascyllus marginatus,Reef associated
Pomacentridae,Dascyllus trimaculatus,Dascyllus trimaculatus,Reef associated
Pomacentridae,Neoglyphidodon melas,Neoglyphidodon melas,Reef associated
Pomacentridae,Neopomacentrus miryae,Neopomacentrus miryae,Reef associated
Pomacentridae,Plectroglyphidodon lacrymatus,Pomacentridae,Reef associated
Pomacentridae,Plectroglyphidodon leucozonus,Pomacentridae,Reef associated
Pomacentridae,Plectroglyphidodon spp.,Pomacentridae,Reef associated
Pomacentridae,Pomacanthus spp.,Pomacentridae,Transient
Pomacentridae,Pomacentrus sulfureus,Pomacentrus sulfureus,Reef associated
Pomacentridae,Pomacentrus trichrourus,Pomacentrus trichrourus,Reef associated
Pomacentridae,Pomacentrus trilineatus,Pomacentridae,Reef associated
Priacanthidae,Priacanthus hamrur,Priacanthidae,Reef associated
Pseudochromidae,Haliophis guttatus,Pseudochromidae,Reef associated
Pseudochromidae,Haliophis sp.,Pseudochromidae,Reef associated
Pseudochromidae,Pseudochromis flavivertex,Pseudochromidae,Reef associated
Pseudochromidae,Pseudochromis fridmani,Pseudochromis fridmani,Reef associated
Pseudochromidae,Pseudochromis olivaceus,Pseudochromis olivaceus,Reef associated
Pseudochromidae,Pseudochromis pesi,Pseudochromidae,Reef associated
Pseudochromidae,Pseudochromis spp.,Pseudochromidae,Reef associated
Pseudochromidae,Pseudochromis springeri,Pseudochromis springeri,Reef associated
Scaridae,Calotomus viridescens,Scaridae,Transient
Scaridae,Cetoscarus bicolor,Scaridae,Transient
Scaridae,Chlorurus gibbus,Scaridae,Transient
Scaridae,Chlorurus sordidus,Scaridae,Transient
Scaridae,Hipposcarus harid,Scaridae,Transient
Scaridae,Scaridae spp.,Scaridae,Transient
Scaridae,Scarus collana,Scaridae,Transient
Scaridae,Scarus ferrugineus,Scaridae,Transient
Scaridae,Scarus frenatus,Scaridae,Transient
Scaridae,Scarus fuscopurpureus,Scaridae,Transient
Scaridae,Scarus ghobban,Scaridae,Transient
Scaridae,Scarus niger,Scaridae,Transient
Scaridae,Scarus psittacus,Scaridae,Transient
Scaridae,Scarus spp.,Scaridae,Reef associated
Scorpaenidae,Pterois miles,Pterois miles,Transient
Scorpaenidae,Pterois radiata,Pterois radiata,Reef associated
Scorpaenidae,Scorpaenodes parvipinnis,Scorpaenidae,Reef associated
Scorpaenidae,Scorpaenopsis barbata,Scorpaenidae,Reef associated
Scorpaenidae,Scorpaenopsis diabolus,Scorpaenidae,Reef associated
Scorpaenidae,Scorpaenopsis spp.,Scorpaenidae,Reef associated
Scorpaenidae,Sebastapistes cyanostigma,Scorpaenidae,Reef associated
Serranidae,Aethaloperca rogaa,Serranidae,Transient
Serranidae,Cephalopholis argus,Serranidae,Transient
Serranidae,Cephalopholis hemistiktos,Serranidae,Transient
Serranidae,Cephalopholis miniata,Serranidae,Transient
Serranidae,Epinephelus fasciatus,Epinephelus fasciatus,Transient
Serranidae,Epinephelus malabaricus,Serranidae,Transient
Serranidae,Epinephelus tauvina,Serranidae,Transient
Serranidae,Grammistes sexlineatus,Grammistes sexlineatus,Transient
Serranidae,Pseudanthias spp.,Pseudanthias spp.,Transient
Serranidae,Pseudanthias squamipinnis,Pseudanthias spp.,Reef associated
Serranidae,Serranidae spp.,Serranidae,Transient
Serranidae,Variola louti,Variola louti,Transient
Siganidae,Siganus  spp.,Siganus  spp.,Transient
Siganidae,Siganus argenteus,Siganus  spp.,Transient
Siganidae,Siganus luridus,Siganus  spp.,Transient
Siganidae,Siganus rivulatus,Siganus  spp.,Transient
Siganidae,Siganus stellatus,Siganus  spp.,Transient
Soleidae,Pardachirus marmoratus,Soleidae,Reef associated
Sparidae,Acanthopagrus bifasciatus,Sparidae,Transient
Sparidae,Diplodus noct,Sparidae,Transient
Sphyraenidae,Sphyraena barracuda,Sphyraena barracuda,Transient
Sphyraenidae,Sphyraena flavicauda,Sphyraena flavicauda,Transient
Spratelloididae,Spratelloides gracilis,Spratelloididae,Transient
Synanceiidae,Inimicus filamentosus,Synanceiidae,Reef associated
Synanceiidae,Synanceia verrucosa,Synanceia verrucosa,Reef associated
Syngnathidae,Corythoichthys flavofasciatus,Syngnathidae,Reef associated
Syngnathidae,Corythoichthys nigripectus,Syngnathidae,Reef associated
Syngnathidae,Corythoichthys schultzi,Syngnathidae,Reef associated
Syngnathidae,Dunckerocampus multiannulatus,Syngnathidae,Reef associated
Syngnathidae,Syngnathidae spp.,Syngnathidae,Reef associated
Synodontidae,Saurida gracilis,Synodontidae,Reef associated
Synodontidae,Synodontidae spp.,Synodontidae,Reef associated
Synodontidae,Synodus variegatus,Synodontidae,Reef associated
Tetraodontidae,Arothron diadematus,Arothron spp.,Transient
Tetraodontidae,Arothron hispidus,Arothron spp.,Transient
Tetraodontidae,Arothron spp.,Arothron spp.,Transient
Tetraodontidae,Canthigaster cyanospilota,Canthigaster spp.,Transient
Tetraodontidae,Canthigaster margaritata,Canthigaster spp.,Transient
Tetraodontidae,Canthigaster pygmaea,Canthigaster spp.,Transient
Tetraodontidae,Canthigaster spp.,Canthigaster spp.,Transient
Torpedinidae,Torpedo panthera,Torpedinidae,Reef associated
Tripterygiidae,Enneapterygius pusillus,Tripterygiidae,Reef associated
Tripterygiidae,Tripterygiidae sp.,Tripterygiidae,Reef associated
